record_type,target_time_h,time_h,cohort_count,time_s,N_m0_m3,M0_m3,M1_m2,M2_m,M3_dimensionless,Rmean_m,Rmean3_m3,Sv_m_inv,f_beta,matrix_xB,beta_inventory_mol_m3,matrix_inventory_mol_m3,total_inventory_mol_m3,inventory_residual_mol_m3,inventory_relative_residual,active_cohort_count,cumulative_dissolution_inventory_mol_m3,initial_id,initial_radius_m,weight_m3,initial_inventory_mol_m3,active,radius_m,initial_growth_sign,current_growth_dissolution_sign,dissolution_time_s,radius_before_event_m,post_event_ledger_relative_residual,returned_inventory_mol_m3,current_inventory_mol_m3,ledger_relative_residual
COHORT,12.0,12.0,6,,,,,,,,,,,0.005592444885684408,,,,,,2,,MP002,1.0499939315689504e-08,1.1302806712962962e+21,133.64604101589208,True,1.3736780651788498e-08,GROWTH,DISSOLUTION,,,,0.0,299.26134363896364,0.0
COHORT,12.0,12.0,6,,,,,,,,,,,0.005592444885684408,,,,,,2,,MP003,9.49995816215454e-09,1.1302806712962962e+21,98.9830448069612,False,4.724027182871601e-10,GROWTH,DISSOLVED,18557.77796111539,4.724027182871602e-10,0.0,0.0121711858737013,0.0,0.0
COHORT,12.0,12.0,6,,,,,,,,,,,0.005592444885684408,,,,,,2,,MP004,9.499958271209501e-09,1.1302806712962962e+21,98.98304821579482,False,4.724027182871601e-10,GROWTH,DISSOLVED,18557.781986134112,4.724027182871602e-10,0.0,0.0121711858737013,0.0,0.0
COHORT,12.0,12.0,6,,,,,,,,,,,0.005592444885684408,,,,,,2,,MP005,7.99993108603241e-09,1.1302806712962962e+21,59.109116572532564,False,4.724027182871601e-10,DISSOLUTION,DISSOLVED,4644.591610365229,4.724027182871602e-10,0.0,0.0121711858737013,0.0,0.0
COHORT,12.0,12.0,6,,,,,,,,,,,0.005592444885684408,,,,,,2,,MP006,7.999932118399894e-09,1.1302806712962962e+21,59.10913945610636,False,4.724027182871601e-10,DISSOLUTION,DISSOLVED,4644.596334740199,4.724027182871602e-10,0.0,0.0121711858737013,0.0,0.0
COHORT,24.0,24.0,6,,,,,,,,,,,0.00559244488568454,,,,,,2,,MP001,1.049993948124773e-08,1.1302806712962962e+21,133.64604733770057,True,1.3736786179094362e-08,GROWTH,GROWTH,,,,0.0,299.261704882916,0.0
COHORT,24.0,24.0,6,,,,,,,,,,,0.00559244488568454,,,,,,2,,MP002,1.0499939315689504e-08,1.1302806712962962e+21,133.64604101589208,True,1.3736776538021839e-08,GROWTH,DISSOLUTION,,,,0.0,299.26107477881357,0.0
COHORT,24.0,24.0,6,,,,,,,,,,,0.00559244488568454,,,,,,2,,MP003,9.49995816215454e-09,1.1302806712962962e+21,98.9830448069612,False,4.724027182871601e-10,GROWTH,DISSOLVED,18557.77796111539,4.724027182871602e-10,0.0,0.0121711858737013,0.0,0.0
COHORT,24.0,24.0,6,,,,,,,,,,,0.00559244488568454,,,,,,2,,MP004,9.499958271209501e-09,1.1302806712962962e+21,98.98304821579482,False,4.724027182871601e-10,GROWTH,DISSOLVED,18557.781986134112,4.724027182871602e-10,0.0,0.0121711858737013,0.0,0.0
COHORT,24.0,24.0,6,,,,,,,,,,,0.00559244488568454,,,,,,2,,MP005,7.99993108603241e-09,1.1302806712962962e+21,59.109116572532564,False,4.724027182871601e-10,DISSOLUTION,DISSOLVED,4644.591610365229,4.724027182871602e-10,0.0,0.0121711858737013,0.0,0.0
COHORT,24.0,24.0,6,,,,,,,,,,,0.00559244488568454,,,,,,2,,MP006,7.999932118399894e-09,1.1302806712962962e+21,59.10913945610636,False,4.724027182871601e-10,DISSOLUTION,DISSOLVED,4644.596334740199,4.724027182871602e-10,0.0,0.0121711858737013,0.0,0.0
COHORT,48.0,48.0,6,,,,,,,,,,,0.005592444885981317,,,,,,2,,MP001,1.049993948124773e-08,1.1302806712962962e+21,133.64604733770057,True,1.3737005602679583e-08,GROWTH,GROWTH,,,,0.0,299.27604581919843,0.0
COHORT,48.0,48.0,6,,,,,,,,,,,0.005592444885981317,,,,,,2,,MP002,1.0499939315689504e-08,1.1302806712962962e+21,133.64604101589208,True,1.3736557107009858e-08,GROWTH,DISSOLUTION,,,,0.0,299.24673383543217,0.0
COHORT,48.0,48.0,6,,,,,,,,,,,0.005592444885981317,,,,,,2,,MP003,9.49995816215454e-09,1.1302806712962962e+21,98.9830448069612,False,4.724027182871601e-10,GROWTH,DISSOLVED,18557.77796111539,4.724027182871602e-10,0.0,0.0121711858737013,0.0,0.0
COHORT,48.0,48.0,6,,,,,,,,,,,0.005592444885981317,,,,,,2,,MP004,9.499958271209501e-09,1.1302806712962962e+21,98.98304821579482,False,4.724027182871601e-10,GROWTH,DISSOLVED,18557.781986134112,4.724027182871602e-10,0.0,0.0121711858737013,0.0,0.0
COHORT,48.0,48.0,6,,,,,,,,,,,0.005592444885981317,,,,,,2,,MP005,7.99993108603241e-09,1.1302806712962962e+21,59.109116572532564,False,4.724027182871601e-10,DISSOLUTION,DISSOLVED,4644.591610365229,4.724027182871602e-10,0.0,0.0121711858737013,0.0,0.0
COHORT,48.0,48.0,6,,,,,,,,,,,0.005592444885981317,,,,,,2,,MP006,7.999932118399894e-09,1.1302806712962962e+21,59.10913945610636,False,4.724027182871601e-10,DISSOLUTION,DISSOLVED,4644.596334740199,4.724027182871602e-10,0.0,0.0121711858737013,0.0,0.0
