case_name,M_ratio,step,time_code,eta_max,eta_mean,eta_far_field,eta_max_minus_far,R_avg_nm,xB_min,xB_max,Y_min,Y_max,xBtot_initial,xBtot_final,xBtot_drift,xBtot_rel_drift,clipping_count_step,nan_inf_flag,eta_bulk_rhs_absmax,phi_chem_rhs_absmax,eta_bulk_rhs_absmax_over_phi_chem_rhs_absmax,eta_Ldt_bulk_absmax_over_phi_Ldt_chem_absmax
gp_eta_S218b_Mratio_1em4,0.0001,1,0.0001,nan,nan,0.00025155920797,nan,nan,0.020903579043,0.029999996156,nan,nan,nan,nan,nan,7.4540855521e-05,0,0,0.00066941731419,1.087394004,0.16154425613,0.040337363427
gp_eta_S218b_Mratio_1em4,0.0001,2,0.0002,nan,nan,0.00027941122028,nan,nan,0.021086380937,0.029999991413,nan,nan,nan,nan,nan,5.1791385333e-05,0,0,0.00066906855547,1.0875447025,0.16117295912,0.04024465111
gp_eta_S218b_Mratio_1em4,0.0001,3,0.0003,nan,nan,0.00029724136624,nan,nan,0.021328328382,0.029999982428,nan,nan,nan,nan,nan,3.0910123191e-05,0,0,0.00066822779031,1.0874131824,0.16066114164,0.040116851038
gp_eta_S218b_Mratio_1em4,0.0001,4,0.0004,nan,nan,0.00030698333778,nan,nan,0.021601693362,0.030006103625,nan,nan,nan,nan,nan,1.2392393611e-05,0,0,0.00066735056503,1.0869473797,0.16016707581,0.039993483524
gp_eta_S218b_Mratio_1em4,0.0001,5,0.0005,nan,nan,0.00031218843139,nan,nan,0.021866620601,0.030140948475,nan,nan,nan,nan,nan,-3.6495689082e-06,0,0,0.00066676000806,1.0861469615,0.15979887051,0.039901543201
gp_eta_S218b_Mratio_1em4,0.0001,6,0.0006,nan,nan,0.00031471963506,nan,nan,0.022061714124,0.030278504953,nan,nan,nan,nan,nan,-1.7196146512e-05,0,0,0.00066670659902,1.0853371217,0.1595813661,0.039847232672
gp_eta_S218b_Mratio_1em4,0.0001,7,0.0007,nan,nan,0.0003157656812,nan,nan,0.022203813872,0.030414805602,nan,nan,nan,nan,nan,-2.8301965253e-05,0,0,0.00066737814562,1.0842864672,0.15960348647,0.039852756094
gp_eta_S218b_Mratio_1em4,0.0001,8,0.0008,nan,nan,0.00031628375036,nan,nan,0.02235322972,0.030547566483,nan,nan,nan,nan,nan,-3.707686021e-05,0,0,0.00066890667574,1.0831797789,0.15987991276,0.039921779334
gp_eta_S218b_Mratio_1em4,0.0001,9,0.0009,nan,nan,0.00031629165993,nan,nan,0.022534417436,0.030676331978,nan,nan,nan,nan,nan,-4.3667050057e-05,0,0,0.00067137402626,1.0828390805,0.160335662,0.04003557925
gp_eta_S218b_Mratio_1em4,0.0001,10,0.001,nan,nan,0.00031612230071,nan,nan,0.022761166345,0.030802433778,nan,nan,nan,nan,nan,-4.8238074552e-05,0,0,0.00067481676615,1.082639535,0.16105452913,0.040215079315
gp_eta_S218b_Mratio_1em4,0.0001,11,0.0011,nan,nan,0.00031595958523,nan,nan,0.023029482972,0.030928799926,nan,nan,nan,nan,nan,-5.0960518986e-05,0,0,0.00067923083372,1.082686233,0.16201580758,0.040455109132
gp_eta_S218b_Mratio_1em4,0.0001,12,0.0012,nan,nan,0.00031565975607,nan,nan,0.023344754641,0.031059666131,nan,nan,nan,nan,nan,-5.1999594072e-05,0,0,0.00068457614128,1.0831223792,0.16318086461,0.040746022161
gp_eta_S218b_Mratio_1em4,0.0001,13,0.0013,nan,nan,0.00031524100674,nan,nan,0.023712107605,0.031200239422,nan,nan,nan,nan,nan,-5.15087572e-05,0,0,0.00069078130468,1.0840837166,0.1645058465,0.041076868192
gp_eta_S218b_Mratio_1em4,0.0001,14,0.0014,nan,nan,0.00031470170908,nan,nan,0.024130364358,0.031356354826,nan,nan,nan,nan,nan,-4.9627065892e-05,0,0,0.00069774862603,1.0856925309,0.16594075135,0.041435161826
gp_eta_S218b_Mratio_1em4,0.0001,15,0.0015,nan,nan,0.00031406401789,nan,nan,0.02460444513,0.031534153717,nan,nan,nan,nan,nan,-4.6479593289e-05,0,0,0.00070535936525,1.0880528799,0.16743189674,0.041807498637
gp_eta_S218b_Mratio_1em4,0.0001,16,0.0016,nan,nan,0.00031336363159,nan,nan,0.025117748532,0.031739800894,nan,nan,nan,nan,nan,-4.2179928444e-05,0,0,0.00071347927497,1.091612717,0.16886787271,0.042166059728
gp_eta_S218b_Mratio_1em4,0.0001,17,0.0017,nan,nan,0.00031265914587,nan,nan,0.025661425831,0.031979247606,nan,nan,nan,nan,nan,-3.683377987e-05,0,0,0.00072196430308,1.1019485826,0.1693422475,0.042284510417
