case,step,time_h,diagnostic_provenance,checkpoint_sha256,validation_contract_hash,fixture_manifest_sha256,package_handoff_hash,Q_B_total_mol,Q_B_matrix_mol,Q_B_GP_mol,Q_B_beta_subgrid_mol,Q_B_beta_resolved_fixed_mol,four_bucket_relative_residual,xB_alpha_mean,xB_alpha_min,xB_alpha_max,phi_min,phi_max,matrix_xB_h_lt_0p005_mean,matrix_xB_h_lt_0p005_min,matrix_xB_h_lt_0p005_max,chemical_potential_mean,chemical_potential_min,chemical_potential_max,phi_clip_count_low,phi_clip_count_high,Y_clip_count_low,Y_clip_count_high,xB_clip_count_low,xB_clip_count_high,segment_total_phi_clip_count,segment_total_xB_clip_count,segment_total_Y_clip_count,nan_count,inf_count,beta_volume_fraction,connected_particle_count,equivalent_radius_min_nm,equivalent_radius_mean_nm,S_v_equivalent_sphere_nm_inverse,S_v_threshold_faces_nm_inverse,immediate_component_loss_from_R0,component_disappearance_candidate_count,periodic_component_status,chemical_excess_hat,gradient_hat,barrier_hat,elastic_hat,total_excess_hat,GP_inventory_mol,beta_subgrid_inventory_mol,GP_PSD_checksum,beta_subgrid_PSD_checksum,auxiliary_frozen
A,174382,47.99990954392642,CHECKPOINT_REPLAY_DERIVED_CUDA_ACCEPTED_STATE_V1,e85914fe876a198e9a529572c19b92df2e6ef8d1da9cf586852ffe1545931242,d0ff02973ab0f737043e1a40d4f69893a469cbfe2bc4cd22f9e6a410bd0b1333,f1247cb66419af764b97de2f7843fc6de2049459d78550bc603edd8e88d9134f,,6.472257309371117e-19,1.4397364015281701e-19,0.0,0.0,5.032520907842947e-19,1.4878348096565177e-16,0.006833271269948788,0.006618992080343158,0.007053809887152388,-1e-06,1.000001,0.006832862246178776,0.0066388655535595436,0.00701780448682928,-0.021836766757293957,-0.02197490112714834,-0.02166982161859956,59899.0,434.0,0.0,0.0,0.0,0.0,5262025716.0,0.0,0.0,0,0,0.023326579896119446,1,17.015995405237003,17.015995405237003,0.004112547093330294,0.009629991319444444,0,0,PERIODIC_6_NEIGHBOR_CCL,-0.002743910046237197,0.000673669457098152,0.0007346308713811482,0.0011654921467385158,-0.00017011757101938088,0.0,0.0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,True
B,0,0.0,CHECKPOINT_REPLAY_DERIVED_CUDA_ACCEPTED_STATE_V1,5a2b0a3eccdb17ac86b7b03270bfb431e365a1833d7121560685a6d9e5d426b1,d0ff02973ab0f737043e1a40d4f69893a469cbfe2bc4cd22f9e6a410bd0b1333,f1247cb66419af764b97de2f7843fc6de2049459d78550bc603edd8e88d9134f,2b28d21140bb38e0d1828844029e0baba7298957616aa01da545ede96d43fbf9,6.472257309371116e-19,1.309926818847619e-19,0.0,0.0,5.162330490523496e-19,0.0,0.006220096603910475,0.006016903625544764,0.006366867260319255,0.0,0.9992792902528203,0.006221106722795377,0.0060408915905245655,0.006324082717465729,-0.04495065666982293,-0.046618976787926376,-0.044622518833597906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.023928269120492215,6,7.99993108603241,9.333276405788931,0.007513575364489687,0.022239402488425927,0,0,PERIODIC_6_NEIGHBOR_CCL,-0.0027942780350409535,0.0011644206775269905,0.0013333025997888078,0.0011701891150454151,0.0008736343573202598,0.0,0.0,3337c2e00a1c23d4ec97b2d73db9cba0c73e90e36db8210f760c2268cd2765d3,9da3afe9add9b7d7ccd92bf711ba46110463fa7c534c555b4200bf1a5ae5494f,True
B,1,0.00027525724870644004,CHECKPOINT_REPLAY_DERIVED_CUDA_ACCEPTED_STATE_V1,41994acd26ff0ec1cc49f3af571c8f74344d6dd5fb72825350590fe1165ca5bc,d0ff02973ab0f737043e1a40d4f69893a469cbfe2bc4cd22f9e6a410bd0b1333,f1247cb66419af764b97de2f7843fc6de2049459d78550bc603edd8e88d9134f,2b28d21140bb38e0d1828844029e0baba7298957616aa01da545ede96d43fbf9,6.472257309371702e-19,1.3805108276157011e-19,0.0,0.0,5.091746481756001e-19,9.060913990808192e-14,0.006553975266311823,0.006350376698306353,0.006807281070988405,-1e-06,0.9993884130974845,0.006552908544591493,0.006360144199503315,0.006658582191781463,-0.032075292982991103,-0.03388920314503792,-0.02632178659180092,80088.0,0.0,0.0,0.0,0.0,0.0,80088.0,0.0,0.0,0,0,0.0236011003813942,6,7.947041135303475,9.288160097110941,0.007443078549489035,0.022203233506944444,0,0,PERIODIC_6_NEIGHBOR_CCL,-0.002768597737631495,0.0011512814208360636,0.0013241967921503455,0.00115197707156422,0.0008588575469191339,0.0,0.0,3337c2e00a1c23d4ec97b2d73db9cba0c73e90e36db8210f760c2268cd2765d3,9da3afe9add9b7d7ccd92bf711ba46110463fa7c534c555b4200bf1a5ae5494f,True
B,10,0.0027525724870644005,CHECKPOINT_REPLAY_DERIVED_CUDA_ACCEPTED_STATE_V1,74b6cca2931ed2a6d86e72dea31f85d3e805d0f8e851d5e480eb7f3d90c588f0,d0ff02973ab0f737043e1a40d4f69893a469cbfe2bc4cd22f9e6a410bd0b1333,f1247cb66419af764b97de2f7843fc6de2049459d78550bc603edd8e88d9134f,2b28d21140bb38e0d1828844029e0baba7298957616aa01da545ede96d43fbf9,6.472257309371121e-19,1.4271878298530043e-19,0.0,0.0,5.045069479518118e-19,8.927008857939105e-16,0.006790409411903393,0.006600659398485707,0.00946341034760619,-1e-06,0.999164872480759,0.006751162442552034,0.006600659398485707,0.007627928690844496,-0.023498432881167333,-0.029562071029633652,0.05641965234471385,94517.0,0.0,0.0,0.0,0.0,0.0,758772.0,0.0,0.0,0,0,0.02338474463405563,6,7.891628860556287,9.255057593795813,0.007393927882203634,0.021941008391203703,0,0,PERIODIC_6_NEIGHBOR_CCL,-0.0027489170159142873,0.0011551979324929513,0.0012991635647047522,0.0011429997405331535,0.0008484442218165697,0.0,0.0,3337c2e00a1c23d4ec97b2d73db9cba0c73e90e36db8210f760c2268cd2765d3,9da3afe9add9b7d7ccd92bf711ba46110463fa7c534c555b4200bf1a5ae5494f,True
B,36,0.009909260953431842,CHECKPOINT_REPLAY_DERIVED_CUDA_ACCEPTED_STATE_V1,3bb086596298e96c2a23163ea68f86fe4cd7a54c9379140a73ca44137b6b4b2b,d0ff02973ab0f737043e1a40d4f69893a469cbfe2bc4cd22f9e6a410bd0b1333,f1247cb66419af764b97de2f7843fc6de2049459d78550bc603edd8e88d9134f,2b28d21140bb38e0d1828844029e0baba7298957616aa01da545ede96d43fbf9,6.472257309371117e-19,1.4324765762867219e-19,0.0,0.0,5.039780733084395e-19,1.4878348096565177e-16,0.006818944084445651,0.006595053006884543,0.009050185532811101,-1e-06,0.9993284519002299,0.006779626780705893,0.006595053006884543,0.00790892197255352,-0.02255383822147247,-0.02811858016811901,0.0458653655082706,100353.0,0.0,0.0,0.0,0.0,0.0,2687790.0,0.0,0.0,0,0,0.02336023040579991,6,7.887375614867339,9.25173778483068,0.0073887063554724285,0.021931966145833332,0,0,PERIODIC_6_NEIGHBOR_CCL,-0.002746104937345173,0.0011607063979493573,0.0012915808062796388,0.001141744208627254,0.0008479264755110773,0.0,0.0,3337c2e00a1c23d4ec97b2d73db9cba0c73e90e36db8210f760c2268cd2765d3,9da3afe9add9b7d7ccd92bf711ba46110463fa7c534c555b4200bf1a5ae5494f,True
B,363,0.09991838128043773,CHECKPOINT_REPLAY_DERIVED_CUDA_ACCEPTED_STATE_V1,db51b3463f208753d015f832544bc67e8976c8322017c48db6456f0c3bb22c12,d0ff02973ab0f737043e1a40d4f69893a469cbfe2bc4cd22f9e6a410bd0b1333,f1247cb66419af764b97de2f7843fc6de2049459d78550bc603edd8e88d9134f,2b28d21140bb38e0d1828844029e0baba7298957616aa01da545ede96d43fbf9,6.472257309371322e-19,1.6383495457577125e-19,0.0,0.0,4.833907763613609e-19,3.1839664926649476e-14,0.0077665187826845014,0.0072454843810863066,0.008587964172785232,-1e-06,0.9992900474644327,0.007767990264711645,0.007317192417391395,0.008243350929463829,0.009370663158023604,-0.008167685322505619,0.03319764211889559,100864.0,0.0,0.0,0.0,0.0,0.0,32868132.0,0.0,0.0,0,0,0.02240597460463126,6,7.572835804968762,9.091625002977947,0.007161558964059046,0.02144142433449074,0,0,PERIODIC_6_NEIGHBOR_CCL,-0.0026417074948117403,0.00111270081034246,0.001264595987095403,0.0010914734605757305,0.000827062763201853,0.0,0.0,3337c2e00a1c23d4ec97b2d73db9cba0c73e90e36db8210f760c2268cd2765d3,9da3afe9add9b7d7ccd92bf711ba46110463fa7c534c555b4200bf1a5ae5494f,True
B,3633,1.0000095845504966,CHECKPOINT_REPLAY_DERIVED_CUDA_ACCEPTED_STATE_V1,afb715f54d2ebc3afdaed4799b054bfc9b50e3087fc292f855e64b0226e56d48,d0ff02973ab0f737043e1a40d4f69893a469cbfe2bc4cd22f9e6a410bd0b1333,f1247cb66419af764b97de2f7843fc6de2049459d78550bc603edd8e88d9134f,2b28d21140bb38e0d1828844029e0baba7298957616aa01da545ede96d43fbf9,6.472257309371117e-19,1.5837340985896516e-19,0.0,0.0,4.888523210781465e-19,1.4878348096565177e-16,0.007508928404944455,0.007038750108962084,0.00828008388123611,-1e-06,0.9998341742146226,0.0075117726219879255,0.007080879584787907,0.008057843591826428,0.0011640600987253284,-0.013333871926281734,0.024922463488298865,91646.0,0.0,0.0,0.0,0.0,0.0,317533358.0,0.0,0.0,0,0,0.02265912637791805,4,8.550987935446162,10.3742419751641,0.0062607647993391455,0.017501265914351853,0,2,PERIODIC_6_NEIGHBOR_CCL,-0.0026725525921076354,0.0009841795039470234,0.0011072596876043632,0.0011001289874994795,0.0005190155869432306,0.0,0.0,3337c2e00a1c23d4ec97b2d73db9cba0c73e90e36db8210f760c2268cd2765d3,9da3afe9add9b7d7ccd92bf711ba46110463fa7c534c555b4200bf1a5ae5494f,True
B,10899,3.00002875365149,CHECKPOINT_REPLAY_DERIVED_CUDA_ACCEPTED_STATE_V1,1f5b1a070480808c13a28b6692428043ea424992dc63dfa0d10f0e84c35d640d,d0ff02973ab0f737043e1a40d4f69893a469cbfe2bc4cd22f9e6a410bd0b1333,f1247cb66419af764b97de2f7843fc6de2049459d78550bc603edd8e88d9134f,2b28d21140bb38e0d1828844029e0baba7298957616aa01da545ede96d43fbf9,6.472257309371116e-19,1.4857580046859402e-19,0.0,0.0,4.986499304685176e-19,0.0,0.007050043975383035,0.006830824246694051,0.007276605548471148,-1e-06,1.000001,0.007049749803242969,0.00685318039209738,0.007232828082335406,-0.014187603673379382,-0.015508978797860867,-0.012458688413376577,72137.0,69.0,0.0,0.0,0.0,0.0,587895360.0,0.0,0.0,0,0,0.023113262033627468,2,13.326211980468338,13.462907425744525,0.005149305399148338,0.013027615017361112,0,2,PERIODIC_6_NEIGHBOR_CCL,-0.0027228363686937485,0.0008242510110735649,0.0009152250881093665,0.0011166760895351773,0.00013331582002436043,0.0,0.0,3337c2e00a1c23d4ec97b2d73db9cba0c73e90e36db8210f760c2268cd2765d3,9da3afe9add9b7d7ccd92bf711ba46110463fa7c534c555b4200bf1a5ae5494f,True
B,21798,6.00005750730298,CHECKPOINT_REPLAY_DERIVED_CUDA_ACCEPTED_STATE_V1,1c4b86f1daa327489ac6fa56909fb6eec06afac1533c30b70bc0c14cc18c1c2b,d0ff02973ab0f737043e1a40d4f69893a469cbfe2bc4cd22f9e6a410bd0b1333,f1247cb66419af764b97de2f7843fc6de2049459d78550bc603edd8e88d9134f,2b28d21140bb38e0d1828844029e0baba7298957616aa01da545ede96d43fbf9,6.472257309371116e-19,1.4855808594947823e-19,0.0,0.0,4.986676449876334e-19,0.0,0.0070491834624274875,0.006819764626977285,0.007280725538886641,-1e-06,1.000001,0.007048913236695406,0.006841767911468697,0.007230515128996901,-0.014217639586763562,-0.016076182311463533,-0.012154016465444721,71352.0,73.0,0.0,0.0,0.0,0.0,779556012.0,0.0,0.0,0,0,0.02311408313134975,2,13.135383145792641,13.456782256997732,0.005147024997569578,0.013011791087962963,0,0,PERIODIC_6_NEIGHBOR_CCL,-0.0027229199167386753,0.0008239925839493246,0.0009150576790822852,0.0011162093838967555,0.00013233973018968994,0.0,0.0,3337c2e00a1c23d4ec97b2d73db9cba0c73e90e36db8210f760c2268cd2765d3,9da3afe9add9b7d7ccd92bf711ba46110463fa7c534c555b4200bf1a5ae5494f,True
B,43596,12.00011501460596,CHECKPOINT_REPLAY_DERIVED_CUDA_ACCEPTED_STATE_V1,a817a3456d5cd1358d07f403945c5094e8aba4ac9f2b625f37ac349e0bb5b37b,d0ff02973ab0f737043e1a40d4f69893a469cbfe2bc4cd22f9e6a410bd0b1333,f1247cb66419af764b97de2f7843fc6de2049459d78550bc603edd8e88d9134f,2b28d21140bb38e0d1828844029e0baba7298957616aa01da545ede96d43fbf9,6.472257309371118e-19,1.4895464567738924e-19,0.0,0.0,4.982710852597225e-19,2.9756696193130354e-16,0.007067068062243449,0.0067505206688033325,0.00743463016096158,-1e-06,1.000001,0.007067744145981035,0.006778111962329016,0.0073690533884014624,-0.013603905135272812,-0.020131780028909044,-0.003585370634072294,73178.0,121.0,0.0,0.0,0.0,0.0,1579551776.0,0.0,0.0,0,0,0.02309570192172123,2,11.360247489621996,13.207432653006485,0.005052147837308473,0.012754087094907407,0,0,PERIODIC_6_NEIGHBOR_CCL,-0.002721005397844145,0.0008094205896833326,0.0008985365716228746,0.0011207109564026377,0.00010766271986469966,0.0,0.0,3337c2e00a1c23d4ec97b2d73db9cba0c73e90e36db8210f760c2268cd2765d3,9da3afe9add9b7d7ccd92bf711ba46110463fa7c534c555b4200bf1a5ae5494f,True
