family,region,u_nm,phi_mean,phi_std,xB_mean,xB_std,sample_count
-1-1+1,face,-0.767135,9.2805016622e-01,0.0,1.2060016809e-02,0.0,1
-1-1+1,face,-0.717135,9.1609616337e-01,0.0,1.2093388747e-02,0.0,1
-1-1+1,face,-0.667135,9.0236502418e-01,0.0,1.2143951751e-02,0.0,1
-1-1+1,face,-0.617135,8.8666474556e-01,0.0,1.2219511961e-02,0.0,1
-1-1+1,face,-0.567135,8.6880683076e-01,0.0,1.2330661484e-02,0.0,1
-1-1+1,face,-0.517135,8.4861551199e-01,0.0,1.2491259797e-02,0.0,1
-1-1+1,face,-0.467135,8.2593922402e-01,0.0,1.2718656096e-02,0.0,1
-1-1+1,face,-0.417135,8.0066407337e-01,0.0,1.3033402709e-02,0.0,1
-1-1+1,face,-0.367135,7.7272866042e-01,0.0,1.3458171808e-02,0.0,1
-1-1+1,face,-0.317135,7.4213915110e-01,0.0,1.4015631380e-02,0.0,1
-1-1+1,face,-0.267135,7.0898302804e-01,0.0,1.4725211701e-02,0.0,1
-1-1+1,face,-0.217135,6.7343958817e-01,0.0,1.5599019887e-02,0.0,1
-1-1+1,face,-0.167135,6.3578513046e-01,0.0,1.6637586314e-02,0.0,1
-1-1+1,face,-0.117135,5.9639102294e-01,0.0,1.7826507491e-02,0.0,1
-1-1+1,face,-0.067135,5.5571352080e-01,0.0,1.9135174811e-02,0.0,1
-1-1+1,face,-0.017135,5.1427528601e-01,0.0,2.0518470850e-02,0.0,1
-1-1+1,face,0.032865,4.7263985741e-01,0.0,2.1921563162e-02,0.0,1
-1-1+1,face,0.082865,4.3138155364e-01,0.0,2.3286958820e-02,0.0,1
-1-1+1,face,0.132865,3.9105414350e-01,0.0,2.4562201237e-02,0.0,1
-1-1+1,face,0.182865,3.5216185584e-01,0.0,2.5706359312e-02,0.0,1
-1-1+1,face,0.232865,3.1513585325e-01,0.0,2.6693890947e-02,0.0,1
-1-1+1,face,0.282865,2.8031829079e-01,0.0,2.7515348852e-02,0.0,1
-1-1+1,face,0.332865,2.4795479199e-01,0.0,2.8175333798e-02,0.0,1
-1-1+1,face,0.382865,2.1819491877e-01,0.0,2.8688725718e-02,0.0,1
-1-1+1,face,0.432865,1.9109924494e-01,0.0,2.9076383195e-02,0.0,1
-1-1+1,face,0.482865,1.6665109953e-01,0.0,2.9361273257e-02,0.0,1
-1-1+1,face,0.532865,1.4477092807e-01,0.0,2.9565577389e-02,0.0,1
-1-1+1,face,0.582865,1.2533143391e-01,0.0,2.9708913652e-02,0.0,1
-1-1+1,face,0.632865,1.0817207100e-01,0.0,2.9807534619e-02,0.0,1
-1-1+1,face,0.682865,9.3111934318e-02,0.0,2.9874231268e-02,0.0,1
-1-1+1,face,0.732865,7.9960537360e-02,0.0,2.9918660688e-02,0.0,1
-1-1+1,face,0.782865,6.8526321857e-02,0.0,2.9947868430e-02,0.0,1
-1-1+1,face,0.832865,5.8622995544e-02,0.0,2.9966850018e-02,0.0,1
-1-1+1,face,0.882865,5.0073944927e-02,0.0,2.9979063531e-02,0.0,1
-1-1+1,face,0.932865,4.2715041142e-02,0.0,2.9986854871e-02,0.0,1
-1-1+1,face,0.982865,3.6396171032e-02,0.0,2.9991788494e-02,0.0,1
-1-1+1,face,1.032865,3.0981803763e-02,0.0,2.9994892740e-02,0.0,1
-1-1+1,face,1.082865,2.6350862587e-02,0.0,2.9996835312e-02,0.0,1
-1-1+1,face,1.132865,2.2396123527e-02,0.0,2.9998045274e-02,0.0,1
-1-1+1,face,1.182865,1.9023315508e-02,0.0,2.9998795920e-02,0.0,1
-1-1+1,face,1.232865,1.6150053971e-02,0.0,2.9999260031e-02,0.0,1
-1-1+1,face,1.282865,1.3704704005e-02,0.0,2.9999546152e-02,0.0,1
-1-1+1,face,1.332865,1.1625240090e-02,0.0,2.9999722109e-02,0.0,1
-1-1+1,face,1.382865,9.8581469883e-03,0.0,2.9999830092e-02,0.0,1
-1-1+1,face,1.432865,8.3573893878e-03,0.0,2.9999896241e-02,0.0,1
-1-1+1,face,1.482865,7.0834655559e-03,0.0,2.9999936703e-02,0.0,1
-1-1+1,face,1.532865,6.0025515651e-03,0.0,2.9999961420e-02,0.0,1
-1-1+1,face,1.582865,5.0857367159e-03,0.0,2.9999976503e-02,0.0,1
-1-1+1,face,1.632865,4.3083469447e-03,0.0,2.9999985698e-02,0.0,1
-1-1+1,face,1.682865,3.6493506702e-03,0.0,2.9999991300e-02,0.0,1
-1-1+1,face,1.732865,3.0908402686e-03,0.0,2.9999994710e-02,0.0,1
-1-1+1,face,1.782865,2.6175818457e-03,0.0,2.9999996784e-02,0.0,1
-1-1+1,face,1.832865,2.2166259395e-03,0.0,2.9999998046e-02,0.0,1
-1-1+1,face,1.882865,1.8769720684e-03,0.0,2.9999998813e-02,0.0,1
-1-1+1,face,1.932865,1.5892805045e-03,0.0,2.9999999279e-02,0.0,1
-1-1+1,face,1.982865,1.3456252132e-03,0.0,2.9999999562e-02,0.0,1
-1-1+1,face,2.032865,1.1392825023e-03,0.0,2.9999999734e-02,0.0,1
-1-1+1,face,2.082865,9.6455051825e-04,0.0,2.9999999839e-02,0.0,1
-1-1+1,face,2.132865,8.1659530471e-04,0.0,2.9999999902e-02,0.0,1
-1-1+1,face,2.182865,6.9131966749e-04,0.0,2.9999999941e-02,0.0,1
-1-1+1,face,2.232865,5.8525157746e-04,0.0,2.9999999964e-02,0.0,1
-1-1+1,face,2.282865,4.9544927932e-04,0.0,2.9999999978e-02,0.0,1
-1-1+1,face,2.332865,4.1942066191e-04,0.0,2.9999999987e-02,0.0,1
-1-1+1,face,2.382865,3.5505478688e-04,0.0,2.9999999992e-02,0.0,1
-1-1+1,face,2.432865,3.0056377138e-04,0.0,2.9999999995e-02,0.0,1
-1-1+1,face,2.482865,2.5443347971e-04,0.0,2.9999999997e-02,0.0,1
-1-1+1,face,2.532865,2.1538170363e-04,0.0,2.9999999998e-02,0.0,1
-1-1+1,face,2.582865,1.8232270450e-04,0.0,2.9999999999e-02,0.0,1
-1-1+1,face,2.632865,1.5433715727e-04,0.0,2.9999999999e-02,0.0,1
-1-1+1,face,2.682865,1.3064667859e-04,0.0,3.0000000000e-02,0.0,1
-1-1+1,face,2.732865,1.1059224395e-04,0.0,3.0000000000e-02,0.0,1
-1-1+1,face,2.782865,9.3615902824e-05,0.0,3.0000000000e-02,0.0,1
-1-1+1,face,2.832865,7.9245289793e-05,0.0,3.0000000000e-02,0.0,1
-1-1+1,face,2.882865,6.7080505668e-05,0.0,3.0000000000e-02,0.0,1
-1-1+1,face,2.932865,5.6783006900e-05,0.0,3.0000000000e-02,0.0,1
-1-1+1,face,2.982865,4.8066196630e-05,0.0,3.0000000000e-02,0.0,1
-1-1+1,face,3.032865,4.0687457266e-05,0.0,3.0000000000e-02,0.0,1
-1-1+1,face,3.082865,3.4441404138e-05,0.0,3.0000000000e-02,0.0,1
-1-1+1,face,3.132865,2.9154173332e-05,0.0,3.0000000000e-02,0.0,1
-1-1+1,face,3.182865,2.4678585384e-05,0.0,3.0000000000e-02,0.0,1
-1-1+1,face,3.232865,2.0890050668e-05,0.0,3.0000000000e-02,0.0,1
-1-1+1,face,3.282865,1.7683102832e-05,0.0,3.0000000000e-02,0.0,1
-1-1+1,face,3.332865,1.4968464021e-05,0.0,3.0000000000e-02,0.0,1
-1-1+1,face,3.382865,1.2670560360e-05,0.0,3.0000000000e-02,0.0,1
-1-1+1,face,3.432865,1.0725418651e-05,0.0,3.0000000000e-02,0.0,1
-1-1+1,face,3.482865,9.0788858291e-06,0.0,3.0000000000e-02,0.0,1
-1-1+1,face,3.532865,7.6851216480e-06,0.0,3.0000000000e-02,0.0,1
-1-1+1,face,3.582865,6.5053227036e-06,0.0,3.0000000000e-02,0.0,1
-1-1+1,face,3.632865,5.5066422825e-06,0.0,3.0000000000e-02,0.0,1
-1-1+1,face,3.682865,4.6612759982e-06,0.0,3.0000000000e-02,0.0,1
-1-1+1,face,3.732865,3.9456877706e-06,0.0,3.0000000000e-02,0.0,1
-1-1+1,face,3.782865,3.3399546131e-06,0.0,3.0000000000e-02,0.0,1
-1-1+1,face,3.832865,2.8272119916e-06,0.0,3.0000000000e-02,0.0,1
-1-1+1,face,3.882865,2.3931843220e-06,0.0,3.0000000000e-02,0.0,1
-1-1+1,face,3.932865,2.0257875371e-06,0.0,3.0000000000e-02,0.0,1
-1-1+1,face,3.982865,1.7147926620e-06,0.0,3.0000000000e-02,0.0,1
-1+1-1,face,-6.067135,9.9999999835e-01,0.0,1.2000000000e-02,0.0,1
-1+1-1,face,-6.017135,9.9999999805e-01,0.0,1.2000000000e-02,0.0,1
-1+1-1,face,-5.967135,9.9999999770e-01,0.0,1.2000000000e-02,0.0,1
-1+1-1,face,-5.917135,9.9999999728e-01,0.0,1.2000000000e-02,0.0,1
-1+1-1,face,-5.867135,9.9999999679e-01,0.0,1.2000000000e-02,0.0,1
-1+1-1,face,-5.817135,9.9999999621e-01,0.0,1.2000000000e-02,0.0,1
-1+1-1,face,-5.767135,9.9999999552e-01,0.0,1.2000000000e-02,0.0,1
-1+1-1,face,-5.717135,9.9999999471e-01,0.0,1.2000000000e-02,0.0,1
-1+1-1,face,-5.667135,9.9999999375e-01,0.0,1.2000000000e-02,0.0,1
-1+1-1,face,-5.617135,9.9999999261e-01,0.0,1.2000000000e-02,0.0,1
-1+1-1,face,-5.567135,9.9999999128e-01,0.0,1.2000000000e-02,0.0,1
-1+1-1,face,-5.517135,9.9999998969e-01,0.0,1.2000000000e-02,0.0,1
-1+1-1,face,-5.467135,9.9999998782e-01,0.0,1.2000000000e-02,0.0,1
-1+1-1,face,-5.417135,9.9999998562e-01,0.0,1.2000000000e-02,0.0,1
-1+1-1,face,-5.367135,9.9999998301e-01,0.0,1.2000000000e-02,0.0,1
-1+1-1,face,-5.317135,9.9999997992e-01,0.0,1.2000000000e-02,0.0,1
-1+1-1,face,-5.267135,9.9999997628e-01,0.0,1.2000000000e-02,0.0,1
-1+1-1,face,-5.217135,9.9999997198e-01,0.0,1.2000000000e-02,0.0,1
-1+1-1,face,-5.167135,9.9999996690e-01,0.0,1.2000000000e-02,0.0,1
-1+1-1,face,-5.117135,9.9999996090e-01,0.0,1.2000000000e-02,0.0,1
-1+1-1,face,-5.067135,9.9999995381e-01,0.0,1.2000000000e-02,0.0,1
-1+1-1,face,-5.017135,9.9999994543e-01,0.0,1.2000000000e-02,0.0,1
-1+1-1,face,-4.967135,9.9999993553e-01,0.0,1.2000000000e-02,0.0,1
-1+1-1,face,-4.917135,9.9999992384e-01,0.0,1.2000000000e-02,0.0,1
-1+1-1,face,-4.867135,9.9999991003e-01,0.0,1.2000000000e-02,0.0,1
-1+1-1,face,-4.817135,9.9999989371e-01,0.0,1.2000000000e-02,0.0,1
-1+1-1,face,-4.767135,9.9999987444e-01,0.0,1.2000000000e-02,0.0,1
-1+1-1,face,-4.717135,9.9999985166e-01,0.0,1.2000000000e-02,0.0,1
-1+1-1,face,-4.667135,9.9999982476e-01,0.0,1.2000000000e-02,0.0,1
-1+1-1,face,-4.617135,9.9999979298e-01,0.0,1.2000000000e-02,0.0,1
-1+1-1,face,-4.567135,9.9999975543e-01,0.0,1.2000000000e-02,0.0,1
-1+1-1,face,-4.517135,9.9999971108e-01,0.0,1.2000000000e-02,0.0,1
-1+1-1,face,-4.467135,9.9999965868e-01,0.0,1.2000000000e-02,0.0,1
-1+1-1,face,-4.417135,9.9999959678e-01,0.0,1.2000000000e-02,0.0,1
-1+1-1,face,-4.367135,9.9999952365e-01,0.0,1.2000000000e-02,0.0,1
-1+1-1,face,-4.317135,9.9999943726e-01,0.0,1.2000000000e-02,0.0,1
-1+1-1,face,-4.267135,9.9999933520e-01,0.0,1.2000000000e-02,0.0,1
-1+1-1,face,-4.217135,9.9999921464e-01,0.0,1.2000000000e-02,0.0,1
-1+1-1,face,-4.167135,9.9999907220e-01,0.0,1.2000000000e-02,0.0,1
-1+1-1,face,-4.117135,9.9999890394e-01,0.0,1.2000000000e-02,0.0,1
-1+1-1,face,-4.067135,9.9999870515e-01,0.0,1.2000000000e-02,0.0,1
-1+1-1,face,-4.017135,9.9999847032e-01,0.0,1.2000000000e-02,0.0,1
-1+1-1,face,-3.967135,9.9999819290e-01,0.0,1.2000000000e-02,0.0,1
-1+1-1,face,-3.917135,9.9999786516e-01,0.0,1.2000000000e-02,0.0,1
-1+1-1,face,-3.867135,9.9999747799e-01,0.0,1.2000000000e-02,0.0,1
-1+1-1,face,-3.817135,9.9999702059e-01,0.0,1.2000000000e-02,0.0,1
-1+1-1,face,-3.767135,9.9999648025e-01,0.0,1.2000000000e-02,0.0,1
-1+1-1,face,-3.717135,9.9999584191e-01,0.0,1.2000000000e-02,0.0,1
-1+1-1,face,-3.667135,9.9999508780e-01,0.0,1.2000000000e-02,0.0,1
-1+1-1,face,-3.617135,9.9999419692e-01,0.0,1.2000000000e-02,0.0,1
-1+1-1,face,-3.567135,9.9999314448e-01,0.0,1.2000000000e-02,0.0,1
-1+1-1,face,-3.517135,9.9999190117e-01,0.0,1.2000000000e-02,0.0,1
-1+1-1,face,-3.467135,9.9999043238e-01,0.0,1.2000000000e-02,0.0,1
-1+1-1,face,-3.417135,9.9998869721e-01,0.0,1.2000000000e-02,0.0,1
-1+1-1,face,-3.367135,9.9998664736e-01,0.0,1.2000000000e-02,0.0,1
-1+1-1,face,-3.317135,9.9998422576e-01,0.0,1.2000000000e-02,0.0,1
-1+1-1,face,-3.267135,9.9998136499e-01,0.0,1.2000000000e-02,0.0,1
-1+1-1,face,-3.217135,9.9997798541e-01,0.0,1.2000000000e-02,0.0,1
-1+1-1,face,-3.167135,9.9997399294e-01,0.0,1.2000000000e-02,0.0,1
-1+1-1,face,-3.117135,9.9996927644e-01,0.0,1.2000000000e-02,0.0,1
-1+1-1,face,-3.067135,9.9996370460e-01,0.0,1.2000000000e-02,0.0,1
-1+1-1,face,-3.017135,9.9995712234e-01,0.0,1.2000000000e-02,0.0,1
-1+1-1,face,-2.967135,9.9994934642e-01,0.0,1.2000000000e-02,0.0,1
-1+1-1,face,-2.917135,9.9994016042e-01,0.0,1.2000000000e-02,0.0,1
-1+1-1,face,-2.867135,9.9992930865e-01,0.0,1.2000000000e-02,0.0,1
-1+1-1,face,-2.817135,9.9991648911e-01,0.0,1.2000000000e-02,0.0,1
-1+1-1,face,-2.767135,9.9990134503e-01,0.0,1.2000000000e-02,0.0,1
-1+1-1,face,-2.717135,9.9988345501e-01,0.0,1.2000000000e-02,0.0,1
-1+1-1,face,-2.667135,9.9986232128e-01,0.0,1.2000000000e-02,0.0,1
-1+1-1,face,-2.617135,9.9983735587e-01,0.0,1.2000000001e-02,0.0,1
-1+1-1,face,-2.567135,9.9980786433e-01,0.0,1.2000000001e-02,0.0,1
-1+1-1,face,-2.517135,9.9977302643e-01,0.0,1.2000000002e-02,0.0,1
-1+1-1,face,-2.467135,9.9973187345e-01,0.0,1.2000000003e-02,0.0,1
-1+1-1,face,-2.417135,9.9968326131e-01,0.0,1.2000000006e-02,0.0,1
-1+1-1,face,-2.367135,9.9962583895e-01,0.0,1.2000000009e-02,0.0,1
-1+1-1,face,-2.317135,9.9955801094e-01,0.0,1.2000000016e-02,0.0,1
-1+1-1,face,-2.267135,9.9947789347e-01,0.0,1.2000000026e-02,0.0,1
-1+1-1,face,-2.217135,9.9938326241e-01,0.0,1.2000000042e-02,0.0,1
-1+1-1,face,-2.167135,9.9927149211e-01,0.0,1.2000000070e-02,0.0,1
-1+1-1,face,-2.117135,9.9913948332e-01,0.0,1.2000000115e-02,0.0,1
-1+1-1,face,-2.067135,9.9898357828e-01,0.0,1.2000000189e-02,0.0,1
-1+1-1,face,-2.017135,9.9879946092e-01,0.0,1.2000000311e-02,0.0,1
-1+1-1,face,-1.967135,9.9858203940e-01,0.0,1.2000000512e-02,0.0,1
-1+1-1,face,-1.917135,9.9832530814e-01,0.0,1.2000000843e-02,0.0,1
-1+1-1,face,-1.867135,9.9802218604e-01,0.0,1.2000001388e-02,0.0,1
-1+1-1,face,-1.817135,9.9766432669e-01,0.0,1.2000002286e-02,0.0,1
-1+1-1,face,-1.767135,9.9724189634e-01,0.0,1.2000003761e-02,0.0,1
-1+1-1,face,-1.717135,9.9674331455e-01,0.0,1.2000006187e-02,0.0,1
-1+1-1,face,-1.667135,9.9615495175e-01,0.0,1.2000010173e-02,0.0,1
-1+1-1,face,-1.617135,9.9546077759e-01,0.0,1.2000016721e-02,0.0,1
-1+1-1,face,-1.567135,9.9464195327e-01,0.0,1.2000027466e-02,0.0,1
-1+1-1,face,-1.517135,9.9367636062e-01,0.0,1.2000045086e-02,0.0,1
-1+1-1,face,-1.467135,9.9253806055e-01,0.0,1.2000073953e-02,0.0,1
-1+1-1,face,-1.417135,9.9119667368e-01,0.0,1.2000121188e-02,0.0,1
-1+1-1,face,-1.367135,9.8961667654e-01,0.0,1.2000198378e-02,0.0,1
-1+1-1,face,-1.317135,9.8775660853e-01,0.0,1.2000324315e-02,0.0,1
-1+1-1,face,-1.267135,9.8556818735e-01,0.0,1.2000529402e-02,0.0,1
-1+1-1,face,-1.217135,9.8299533517e-01,0.0,1.2000862646e-02,0.0,1
-1+1-1,face,-1.167135,9.7997312448e-01,0.0,1.2001402728e-02,0.0,1
-1+1-1,face,-1.117135,9.7642666238e-01,0.0,1.2002275365e-02,0.0,1
-1+1-1,face,-1.067135,9.7226994561e-01,0.0,1.2003680296e-02,0.0,1
-1+1-1,face,-1.017135,9.6740473744e-01,0.0,1.2005932754e-02,0.0,1
-1+1-1,face,-0.967135,9.6171954173e-01,0.0,1.2009526354e-02,0.0,1
-1+1-1,face,-0.917135,9.5508878083e-01,0.0,1.2015226886e-02,0.0,1
-1+1-1,face,-0.867135,9.4737232218e-01,0.0,1.2024209465e-02,0.0,1
-1+1-1,face,-0.817135,9.3841554243e-01,0.0,1.2038254190e-02,0.0,1
-1+1-1,face,-0.767135,9.2805016622e-01,0.0,1.2060016809e-02,0.0,1
-1+1-1,face,-0.717135,9.1609616337e-01,0.0,1.2093388747e-02,0.0,1
-1+1-1,face,-0.667135,9.0236502418e-01,0.0,1.2143951751e-02,0.0,1
-1+1-1,face,-0.617135,8.8666474556e-01,0.0,1.2219511961e-02,0.0,1
-1+1-1,face,-0.567135,8.6880683076e-01,0.0,1.2330661484e-02,0.0,1
-1+1-1,face,-0.517135,8.4861551199e-01,0.0,1.2491259797e-02,0.0,1
-1+1-1,face,-0.467135,8.2593922402e-01,0.0,1.2718656096e-02,0.0,1
-1+1-1,face,-0.417135,8.0066407337e-01,0.0,1.3033402709e-02,0.0,1
-1+1-1,face,-0.367135,7.7272866042e-01,0.0,1.3458171808e-02,0.0,1
-1+1-1,face,-0.317135,7.4213915110e-01,0.0,1.4015631380e-02,0.0,1
-1+1-1,face,-0.267135,7.0898302804e-01,0.0,1.4725211701e-02,0.0,1
-1+1-1,face,-0.217135,6.7343958817e-01,0.0,1.5599019887e-02,0.0,1
-1+1-1,face,-0.167135,6.3578513046e-01,0.0,1.6637586314e-02,0.0,1
-1+1-1,face,-0.117135,5.9639102294e-01,0.0,1.7826507491e-02,0.0,1
-1+1-1,face,-0.067135,5.5571352080e-01,0.0,1.9135174811e-02,0.0,1
-1+1-1,face,-0.017135,5.1427528601e-01,0.0,2.0518470850e-02,0.0,1
-1+1-1,face,0.032865,4.7263985741e-01,0.0,2.1921563162e-02,0.0,1
-1+1-1,face,0.082865,4.3138155364e-01,0.0,2.3286958820e-02,0.0,1
-1+1-1,face,0.132865,3.9105414350e-01,0.0,2.4562201237e-02,0.0,1
-1+1-1,face,0.182865,3.5216185584e-01,0.0,2.5706359312e-02,0.0,1
-1+1-1,face,0.232865,3.1513585325e-01,0.0,2.6693890947e-02,0.0,1
-1+1-1,face,0.282865,2.8031829079e-01,0.0,2.7515348852e-02,0.0,1
-1+1-1,face,0.332865,2.4795479199e-01,0.0,2.8175333798e-02,0.0,1
-1+1-1,face,0.382865,2.1819491877e-01,0.0,2.8688725718e-02,0.0,1
-1+1-1,face,0.432865,1.9109924494e-01,0.0,2.9076383195e-02,0.0,1
-1+1-1,face,0.482865,1.6665109953e-01,0.0,2.9361273257e-02,0.0,1
-1+1-1,face,0.532865,1.4477092807e-01,0.0,2.9565577389e-02,0.0,1
-1+1-1,face,0.582865,1.2533143391e-01,0.0,2.9708913652e-02,0.0,1
-1+1-1,face,0.632865,1.0817207100e-01,0.0,2.9807534619e-02,0.0,1
-1+1-1,face,0.682865,9.3111934318e-02,0.0,2.9874231268e-02,0.0,1
-1+1-1,face,0.732865,7.9960537360e-02,0.0,2.9918660688e-02,0.0,1
-1+1-1,face,0.782865,6.8526321857e-02,0.0,2.9947868430e-02,0.0,1
-1+1-1,face,0.832865,5.8622995544e-02,0.0,2.9966850018e-02,0.0,1
-1+1-1,face,0.882865,5.0073944927e-02,0.0,2.9979063531e-02,0.0,1
-1+1-1,face,0.932865,4.2715041142e-02,0.0,2.9986854871e-02,0.0,1
-1+1-1,face,0.982865,3.6396171032e-02,0.0,2.9991788494e-02,0.0,1
-1+1-1,face,1.032865,3.0981803763e-02,0.0,2.9994892740e-02,0.0,1
-1+1-1,face,1.082865,2.6350862587e-02,0.0,2.9996835312e-02,0.0,1
-1+1-1,face,1.132865,2.2396123527e-02,0.0,2.9998045274e-02,0.0,1
-1+1-1,face,1.182865,1.9023315508e-02,0.0,2.9998795920e-02,0.0,1
-1+1-1,face,1.232865,1.6150053971e-02,0.0,2.9999260031e-02,0.0,1
-1+1-1,face,1.282865,1.3704704005e-02,0.0,2.9999546152e-02,0.0,1
-1+1-1,face,1.332865,1.1625240090e-02,0.0,2.9999722109e-02,0.0,1
-1+1-1,face,1.382865,9.8581469883e-03,0.0,2.9999830092e-02,0.0,1
-1+1-1,face,1.432865,8.3573893878e-03,0.0,2.9999896241e-02,0.0,1
-1+1-1,face,1.482865,7.0834655559e-03,0.0,2.9999936703e-02,0.0,1
-1+1-1,face,1.532865,6.0025515651e-03,0.0,2.9999961420e-02,0.0,1
-1+1-1,face,1.582865,5.0857367159e-03,0.0,2.9999976503e-02,0.0,1
-1+1-1,face,1.632865,4.3083469447e-03,0.0,2.9999985698e-02,0.0,1
-1+1-1,face,1.682865,3.6493506702e-03,0.0,2.9999991300e-02,0.0,1
-1+1-1,face,1.732865,3.0908402686e-03,0.0,2.9999994710e-02,0.0,1
-1+1-1,face,1.782865,2.6175818457e-03,0.0,2.9999996784e-02,0.0,1
-1+1-1,face,1.832865,2.2166259395e-03,0.0,2.9999998046e-02,0.0,1
-1+1-1,face,1.882865,1.8769720684e-03,0.0,2.9999998813e-02,0.0,1
-1+1-1,face,1.932865,1.5892805045e-03,0.0,2.9999999279e-02,0.0,1
-1+1-1,face,1.982865,1.3456252132e-03,0.0,2.9999999562e-02,0.0,1
-1+1-1,face,2.032865,1.1392825023e-03,0.0,2.9999999734e-02,0.0,1
-1+1-1,face,2.082865,9.6455051825e-04,0.0,2.9999999839e-02,0.0,1
-1+1-1,face,2.132865,8.1659530471e-04,0.0,2.9999999902e-02,0.0,1
-1+1-1,face,2.182865,6.9131966749e-04,0.0,2.9999999941e-02,0.0,1
-1+1-1,face,2.232865,5.8525157746e-04,0.0,2.9999999964e-02,0.0,1
-1+1-1,face,2.282865,4.9544927932e-04,0.0,2.9999999978e-02,0.0,1
-1+1-1,face,2.332865,4.1942066191e-04,0.0,2.9999999987e-02,0.0,1
-1+1-1,face,2.382865,3.5505478688e-04,0.0,2.9999999992e-02,0.0,1
-1+1-1,face,2.432865,3.0056377138e-04,0.0,2.9999999995e-02,0.0,1
-1+1-1,face,2.482865,2.5443347971e-04,0.0,2.9999999997e-02,0.0,1
-1+1-1,face,2.532865,2.1538170363e-04,0.0,2.9999999998e-02,0.0,1
-1+1-1,face,2.582865,1.8232270450e-04,0.0,2.9999999999e-02,0.0,1
-1+1-1,face,2.632865,1.5433715727e-04,0.0,2.9999999999e-02,0.0,1
-1+1-1,face,2.682865,1.3064667859e-04,0.0,3.0000000000e-02,0.0,1
-1+1-1,face,2.732865,1.1059224395e-04,0.0,3.0000000000e-02,0.0,1
-1+1-1,face,2.782865,9.3615902824e-05,0.0,3.0000000000e-02,0.0,1
-1+1-1,face,2.832865,7.9245289793e-05,0.0,3.0000000000e-02,0.0,1
-1+1-1,face,2.882865,6.7080505668e-05,0.0,3.0000000000e-02,0.0,1
-1+1-1,face,2.932865,5.6783006900e-05,0.0,3.0000000000e-02,0.0,1
-1+1-1,face,2.982865,4.8066196630e-05,0.0,3.0000000000e-02,0.0,1
-1+1-1,face,3.032865,4.0687457266e-05,0.0,3.0000000000e-02,0.0,1
-1+1-1,face,3.082865,3.4441404138e-05,0.0,3.0000000000e-02,0.0,1
-1+1-1,face,3.132865,2.9154173332e-05,0.0,3.0000000000e-02,0.0,1
-1+1-1,face,3.182865,2.4678585384e-05,0.0,3.0000000000e-02,0.0,1
-1+1-1,face,3.232865,2.0890050668e-05,0.0,3.0000000000e-02,0.0,1
-1+1-1,face,3.282865,1.7683102832e-05,0.0,3.0000000000e-02,0.0,1
-1+1-1,face,3.332865,1.4968464021e-05,0.0,3.0000000000e-02,0.0,1
-1+1-1,face,3.382865,1.2670560360e-05,0.0,3.0000000000e-02,0.0,1
-1+1-1,face,3.432865,1.0725418651e-05,0.0,3.0000000000e-02,0.0,1
-1+1-1,face,3.482865,9.0788858291e-06,0.0,3.0000000000e-02,0.0,1
-1+1-1,face,3.532865,7.6851216480e-06,0.0,3.0000000000e-02,0.0,1
-1+1-1,face,3.582865,6.5053227036e-06,0.0,3.0000000000e-02,0.0,1
-1+1-1,face,3.632865,5.5066422825e-06,0.0,3.0000000000e-02,0.0,1
-1+1-1,face,3.682865,4.6612759982e-06,0.0,3.0000000000e-02,0.0,1
-1+1-1,face,3.732865,3.9456877706e-06,0.0,3.0000000000e-02,0.0,1
-1+1-1,face,3.782865,3.3399546131e-06,0.0,3.0000000000e-02,0.0,1
-1+1-1,face,3.832865,2.8272119916e-06,0.0,3.0000000000e-02,0.0,1
-1+1-1,face,3.882865,2.3931843220e-06,0.0,3.0000000000e-02,0.0,1
-1+1-1,face,3.932865,2.0257875371e-06,0.0,3.0000000000e-02,0.0,1
-1+1-1,face,3.982865,1.7147926620e-06,0.0,3.0000000000e-02,0.0,1
-1+1+1,face,-6.067135,9.9999999835e-01,0.0,1.2000000000e-02,0.0,1
-1+1+1,face,-6.017135,9.9999999805e-01,0.0,1.2000000000e-02,0.0,1
-1+1+1,face,-5.967135,9.9999999770e-01,0.0,1.2000000000e-02,0.0,1
-1+1+1,face,-5.917135,9.9999999728e-01,0.0,1.2000000000e-02,0.0,1
-1+1+1,face,-5.867135,9.9999999679e-01,0.0,1.2000000000e-02,0.0,1
-1+1+1,face,-5.817135,9.9999999621e-01,0.0,1.2000000000e-02,0.0,1
-1+1+1,face,-5.767135,9.9999999552e-01,0.0,1.2000000000e-02,0.0,1
-1+1+1,face,-5.717135,9.9999999471e-01,0.0,1.2000000000e-02,0.0,1
-1+1+1,face,-5.667135,9.9999999375e-01,0.0,1.2000000000e-02,0.0,1
-1+1+1,face,-5.617135,9.9999999261e-01,0.0,1.2000000000e-02,0.0,1
-1+1+1,face,-5.567135,9.9999999128e-01,0.0,1.2000000000e-02,0.0,1
-1+1+1,face,-5.517135,9.9999998969e-01,0.0,1.2000000000e-02,0.0,1
-1+1+1,face,-5.467135,9.9999998782e-01,0.0,1.2000000000e-02,0.0,1
-1+1+1,face,-5.417135,9.9999998562e-01,0.0,1.2000000000e-02,0.0,1
-1+1+1,face,-5.367135,9.9999998301e-01,0.0,1.2000000000e-02,0.0,1
