family,region,u_nm,phi_mean,phi_std,xB_mean,xB_std,sample_count
-1-1-1,face,3.907025,2.2080100572e-06,0.0,3.0000000000e-02,0.0,1
-1-1-1,face,3.957025,1.8690407953e-06,0.0,3.0000000000e-02,0.0,1
-1-1-1,face,4.007025,1.5821093303e-06,0.0,3.0000000000e-02,0.0,1
-1-1+1,face,-6.742975,9.9999999983e-01,0.0,1.2000000000e-02,0.0,1
-1-1+1,face,-6.692975,9.9999999980e-01,0.0,1.2000000000e-02,0.0,1
-1-1+1,face,-6.642975,9.9999999976e-01,0.0,1.2000000000e-02,0.0,1
-1-1+1,face,-6.592975,9.9999999971e-01,0.0,1.2000000000e-02,0.0,1
-1-1+1,face,-6.542975,9.9999999966e-01,0.0,1.2000000000e-02,0.0,1
-1-1+1,face,-6.492975,9.9999999960e-01,0.0,1.2000000000e-02,0.0,1
-1-1+1,face,-6.442975,9.9999999953e-01,0.0,1.2000000000e-02,0.0,1
-1-1+1,face,-6.392975,9.9999999944e-01,0.0,1.2000000000e-02,0.0,1
-1-1+1,face,-6.342975,9.9999999934e-01,0.0,1.2000000000e-02,0.0,1
-1-1+1,face,-6.292975,9.9999999922e-01,0.0,1.2000000000e-02,0.0,1
-1-1+1,face,-6.242975,9.9999999908e-01,0.0,1.2000000000e-02,0.0,1
-1-1+1,face,-6.192975,9.9999999892e-01,0.0,1.2000000000e-02,0.0,1
-1-1+1,face,-6.142975,9.9999999872e-01,0.0,1.2000000000e-02,0.0,1
-1-1+1,face,-6.092975,9.9999999849e-01,0.0,1.2000000000e-02,0.0,1
-1-1+1,face,-6.042975,9.9999999821e-01,0.0,1.2000000000e-02,0.0,1
-1-1+1,face,-5.992975,9.9999999789e-01,0.0,1.2000000000e-02,0.0,1
-1-1+1,face,-5.942975,9.9999999751e-01,0.0,1.2000000000e-02,0.0,1
-1-1+1,face,-5.892975,9.9999999706e-01,0.0,1.2000000000e-02,0.0,1
-1-1+1,face,-5.842975,9.9999999652e-01,0.0,1.2000000000e-02,0.0,1
-1-1+1,face,-5.792975,9.9999999589e-01,0.0,1.2000000000e-02,0.0,1
-1-1+1,face,-5.742975,9.9999999514e-01,0.0,1.2000000000e-02,0.0,1
-1-1+1,face,-5.692975,9.9999999426e-01,0.0,1.2000000000e-02,0.0,1
-1-1+1,face,-5.642975,9.9999999322e-01,0.0,1.2000000000e-02,0.0,1
-1-1+1,face,-5.592975,9.9999999200e-01,0.0,1.2000000000e-02,0.0,1
-1-1+1,face,-5.542975,9.9999999054e-01,0.0,1.2000000000e-02,0.0,1
-1-1+1,face,-5.492975,9.9999998883e-01,0.0,1.2000000000e-02,0.0,1
-1-1+1,face,-5.442975,9.9999998680e-01,0.0,1.2000000000e-02,0.0,1
-1-1+1,face,-5.392975,9.9999998441e-01,0.0,1.2000000000e-02,0.0,1
-1-1+1,face,-5.342975,9.9999998158e-01,0.0,1.2000000000e-02,0.0,1
-1-1+1,face,-5.292975,9.9999997824e-01,0.0,1.2000000000e-02,0.0,1
-1-1+1,face,-5.242975,9.9999997430e-01,0.0,1.2000000000e-02,0.0,1
-1-1+1,face,-5.192975,9.9999996963e-01,0.0,1.2000000000e-02,0.0,1
-1-1+1,face,-5.142975,9.9999996413e-01,0.0,1.2000000000e-02,0.0,1
-1-1+1,face,-5.092975,9.9999995762e-01,0.0,1.2000000000e-02,0.0,1
-1-1+1,face,-5.042975,9.9999994993e-01,0.0,1.2000000000e-02,0.0,1
-1-1+1,face,-4.992975,9.9999994085e-01,0.0,1.2000000000e-02,0.0,1
-1-1+1,face,-4.942975,9.9999993013e-01,0.0,1.2000000000e-02,0.0,1
-1-1+1,face,-4.892975,9.9999991745e-01,0.0,1.2000000000e-02,0.0,1
-1-1+1,face,-4.842975,9.9999990248e-01,0.0,1.2000000000e-02,0.0,1
-1-1+1,face,-4.792975,9.9999988480e-01,0.0,1.2000000000e-02,0.0,1
-1-1+1,face,-4.742975,9.9999986391e-01,0.0,1.2000000000e-02,0.0,1
-1-1+1,face,-4.692975,9.9999983922e-01,0.0,1.2000000000e-02,0.0,1
-1-1+1,face,-4.642975,9.9999981006e-01,0.0,1.2000000000e-02,0.0,1
-1-1+1,face,-4.592975,9.9999977562e-01,0.0,1.2000000000e-02,0.0,1
-1-1+1,face,-4.542975,9.9999973492e-01,0.0,1.2000000000e-02,0.0,1
-1-1+1,face,-4.492975,9.9999968685e-01,0.0,1.2000000000e-02,0.0,1
-1-1+1,face,-4.442975,9.9999963006e-01,0.0,1.2000000000e-02,0.0,1
-1-1+1,face,-4.392975,9.9999956296e-01,0.0,1.2000000000e-02,0.0,1
-1-1+1,face,-4.342975,9.9999948370e-01,0.0,1.2000000000e-02,0.0,1
-1-1+1,face,-4.292975,9.9999939007e-01,0.0,1.2000000000e-02,0.0,1
-1-1+1,face,-4.242975,9.9999927945e-01,0.0,1.2000000000e-02,0.0,1
-1-1+1,face,-4.192975,9.9999914877e-01,0.0,1.2000000000e-02,0.0,1
-1-1+1,face,-4.142975,9.9999899439e-01,0.0,1.2000000000e-02,0.0,1
-1-1+1,face,-4.092975,9.9999881201e-01,0.0,1.2000000000e-02,0.0,1
-1-1+1,face,-4.042975,9.9999859656e-01,0.0,1.2000000000e-02,0.0,1
-1-1+1,face,-3.992975,9.9999834203e-01,0.0,1.2000000000e-02,0.0,1
-1-1+1,face,-3.942975,9.9999804134e-01,0.0,1.2000000000e-02,0.0,1
-1-1+1,face,-3.892975,9.9999768612e-01,0.0,1.2000000000e-02,0.0,1
-1-1+1,face,-3.842975,9.9999726648e-01,0.0,1.2000000000e-02,0.0,1
-1-1+1,face,-3.792975,9.9999677073e-01,0.0,1.2000000000e-02,0.0,1
-1-1+1,face,-3.742975,9.9999618507e-01,0.0,1.2000000000e-02,0.0,1
-1-1+1,face,-3.692975,9.9999549319e-01,0.0,1.2000000000e-02,0.0,1
-1-1+1,face,-3.642975,9.9999467584e-01,0.0,1.2000000000e-02,0.0,1
-1-1+1,face,-3.592975,9.9999371025e-01,0.0,1.2000000000e-02,0.0,1
-1-1+1,face,-3.542975,9.9999256955e-01,0.0,1.2000000000e-02,0.0,1
-1-1+1,face,-3.492975,9.9999122197e-01,0.0,1.2000000000e-02,0.0,1
-1-1+1,face,-3.442975,9.9998963000e-01,0.0,1.2000000000e-02,0.0,1
-1-1+1,face,-3.392975,9.9998774932e-01,0.0,1.2000000000e-02,0.0,1
-1-1+1,face,-3.342975,9.9998552756e-01,0.0,1.2000000000e-02,0.0,1
-1-1+1,face,-3.292975,9.9998290288e-01,0.0,1.2000000000e-02,0.0,1
-1-1+1,face,-3.242975,9.9997980220e-01,0.0,1.2000000000e-02,0.0,1
-1-1+1,face,-3.192975,9.9997613921e-01,0.0,1.2000000000e-02,0.0,1
-1-1+1,face,-3.142975,9.9997181192e-01,0.0,1.2000000000e-02,0.0,1
-1-1+1,face,-3.092975,9.9996669989e-01,0.0,1.2000000000e-02,0.0,1
-1-1+1,face,-3.042975,9.9996066081e-01,0.0,1.2000000000e-02,0.0,1
-1-1+1,face,-2.992975,9.9995352657e-01,0.0,1.2000000000e-02,0.0,1
-1-1+1,face,-2.942975,9.9994509859e-01,0.0,1.2000000000e-02,0.0,1
-1-1+1,face,-2.892975,9.9993514230e-01,0.0,1.2000000000e-02,0.0,1
-1-1+1,face,-2.842975,9.9992338058e-01,0.0,1.2000000000e-02,0.0,1
-1-1+1,face,-2.792975,9.9990948611e-01,0.0,1.2000000000e-02,0.0,1
-1-1+1,face,-2.742975,9.9989307222e-01,0.0,1.2000000000e-02,0.0,1
-1-1+1,face,-2.692975,9.9987368221e-01,0.0,1.2000000000e-02,0.0,1
-1-1+1,face,-2.642975,9.9985077658e-01,0.0,1.2000000001e-02,0.0,1
-1-1+1,face,-2.592975,9.9982371813e-01,0.0,1.2000000001e-02,0.0,1
-1-1+1,face,-2.542975,9.9979175423e-01,0.0,1.2000000002e-02,0.0,1
-1-1+1,face,-2.492975,9.9975399598e-01,0.0,1.2000000003e-02,0.0,1
-1-1+1,face,-2.442975,9.9970939356e-01,0.0,1.2000000004e-02,0.0,1
-1-1+1,face,-2.392975,9.9965670715e-01,0.0,1.2000000007e-02,0.0,1
-1-1+1,face,-2.342975,9.9959447267e-01,0.0,1.2000000012e-02,0.0,1
-1-1+1,face,-2.292975,9.9952096129e-01,0.0,1.2000000020e-02,0.0,1
-1-1+1,face,-2.242975,9.9943413180e-01,0.0,1.2000000033e-02,0.0,1
-1-1+1,face,-2.192975,9.9933157430e-01,0.0,1.2000000054e-02,0.0,1
